comment_id,comment_message,tags,theme,objective
0,"

I don't have a smartphone and don't use apps. I find it very easy to use my meters averages so I now what's going on with my numbers",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
1,"I used glucose buddy but not much anymore. I am ""aap'd "" out. I used for about 6 months. Only one I tried. I do not care about using them. I am over all the app stff, so I do not care about improvements. I roughly only know the names of the Apps listed",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
1,"I used glucose buddy but not much anymore. I am ""aap'd "" out. I used for about 6 months. Only one I tried. I do not care about using them. I am over all the app stff, so I do not care about improvements. I roughly only know the names of the Apps listed",Dislike for Multiple Apps,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
2,"What smartphone apps do you use to help with the management of your diabetes? I use MySugr. I like it best 


How often do you use these apps? Every day 


  


How long have you been using these apps? About 6 months 


If you’re using multiple, which app(s) is the most useful? Why?I only use this one. 


What type of app is missing that you would like to see for management of your diabetes? I cant really think of any. I think the I use is what's best forcme.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
3,"MySugr- Diabetes App. To track my blood sugar, good to stay on top of technology. I have heard on On duo but not Levels or January. 


Only recently started as the phone I had was not app friendly. I googled diabetes apps and read reviews. I find being able to have a running record or info in one place convenient. Also new one on my Amazon tablet Blood sugar log which feels old school to me like electronic paper.",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
4,I use fooducate and have been using it for about a year. I like fooducate because you can scan barcodes and it gives letter grades for food quality and suggests alternatives. I think a good shopping app tailered to diabetics is missing and would be useful to help you know good foods before you purchase them. I use it with pretty much every meal so at least twice a day. This is really the only one I am currently using. I have not heard about of the 3 apps you mentioned but I look forward to looking into them.,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
4,I use fooducate and have been using it for about a year. I like fooducate because you can scan barcodes and it gives letter grades for food quality and suggests alternatives. I think a good shopping app tailered to diabetics is missing and would be useful to help you know good foods before you purchase them. I use it with pretty much every meal so at least twice a day. This is really the only one I am currently using. I have not heard about of the 3 apps you mentioned but I look forward to looking into them.,Desire for Personalized App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
5,"

Right now I am not using an app. I use to use Fitbit until my Fitbit would no longer work. I just received a new glucose monitor in the mail and it has an app that comes with it. It is an Accu-Chek. I will be learning how to use it soon. How often? N/A. How long? N/A. I don't use multiple. What type of app is missing? I would like to see an app that keeps track of your blood sugar levels and average, lets you enter what you have eaten, how much of each food, and when, and then it would tell you the nutritional facts about your meal and how much it is expected to raise your blood sugar over what amount of time. No, I have never heard of OnDuo, Levels, or January. ",Desire for Glucose Monitoring App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
6,"

I really do not have a need for any apps for anything much less for my diabetes but I guess it is a personal choice for everyone.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
7,"I use the Dexcom G6 app and its companion, Clarity. I do use the primary app (Dexcom G6) many times a day, though. However, I have only been using them for about a month. Using a CGM is life-changing for me... it is amazing to have that information at my fingertips (no pun intended)... but I am not sure if I like Dexcom better than Freestyle. I used Freestyle for a couple of years and really appreciated how easy it was to see the various charts and graphs of what my sugars had been doing over the days/weeks/months, how they varied with time of day, and so on. I *think* all of that information is also available with Dexcom's Clarity app, but I have to ask for specific reports, etc. It is not as easy or intuitive. However, I think that with a little more time, I will be able to get everything I need from the Dexcom apps. I am not certain what app I would like to see... perhaps a combination of the Freestyle (with its easy graphs) and the Dexcom (with its constant readings). In addition, it would be helpful to be able to personalize allmof the alarms and notifications on the Dexcom. Aside from CGMs, I cannot think of other apps that would be helpful. Perhaps an app that offered easy access to net carbs in various servings of foods? (Such an apps probably already exists if I hunt for it.) I have never heard of OnDuo, Levels, or January. Sorry!",Multiple Device Usage,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
8,"I have used the glucose buddy, i have been using it for about 6 months now.I have heard of january but dont know much about it.",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
9,I use dexcom for tracking my diabetes. It's 100% awesome.,Satisfaction with Current Apps,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
10,"I used to have an app to log numbers,and insulin usage but its all on my cgm and pump now. I do keep track of my activity on my Fitbit ",Fitbit App Usage,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
10,"I used to have an app to log numbers,and insulin usage but its all on my cgm and pump now. I do keep track of my activity on my Fitbit ",Non-Diabetes App Usage,Identifying usage patterns and potential gaps in the diabetes app market,To uncover any gaps in the current apps market that could be filled for better diabetes management
11,"I use the Google Fit, and Glucose Buddy apps to help manage my diabetes. I have been using Google Fit for about 5 years, and Glucose Buddy for about 2 years. Glucose Buddy is the more useful of these two apps, because it allows me to connect my Dexcom glucometer, and allows me to log my numbers manually while also tracking steps, exercise, and meals. The only thing missing from this app, is that I wish that it could connect to other glucometers.  


Regarding the other apps listed - OnDuo, Levels, or January; I have not heard of these, but would be interested in searching them out, and finding out more about them.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
11,"I use the Google Fit, and Glucose Buddy apps to help manage my diabetes. I have been using Google Fit for about 5 years, and Glucose Buddy for about 2 years. Glucose Buddy is the more useful of these two apps, because it allows me to connect my Dexcom glucometer, and allows me to log my numbers manually while also tracking steps, exercise, and meals. The only thing missing from this app, is that I wish that it could connect to other glucometers.  


Regarding the other apps listed - OnDuo, Levels, or January; I have not heard of these, but would be interested in searching them out, and finding out more about them.",Desire for Glucose Monitoring App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
11,"I use the Google Fit, and Glucose Buddy apps to help manage my diabetes. I have been using Google Fit for about 5 years, and Glucose Buddy for about 2 years. Glucose Buddy is the more useful of these two apps, because it allows me to connect my Dexcom glucometer, and allows me to log my numbers manually while also tracking steps, exercise, and meals. The only thing missing from this app, is that I wish that it could connect to other glucometers.  


Regarding the other apps listed - OnDuo, Levels, or January; I have not heard of these, but would be interested in searching them out, and finding out more about them.",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
